Date,Open,High,Low,Close,Volume
2/9/2017,1055.49,1073.03,924.65,978.96,0
2/10/2017,978.96,1005.6,947.02,997.61,0
2/11/2017,997.61,1014.32,983.93,1008.32,0
2/12/2017,1008.32,1008.32,992.45,996.52,0
2/13/2017,996.52,1007.61,975.1,995.36,0
2/14/2017,995.36,1013.8,986.46,1008.34,0
2/15/2017,1008.34,1010.93,999.73,1008.19,0
2/16/2017,1008.19,1040.28,1007.39,1031.93,0
2/17/2017,1031.93,1057.39,1025.87,1049.41,0
2/18/2017,1049.41,1063.21,1044.68,1052.28,0
2/19/2017,1052.28,1056.48,1037.67,1048.89,0
2/20/2017,1048.89,1081.78,1040.99,1077.56,0
2/21/2017,1077.56,1123.03,1073.54,1119.03,0
2/22/2017,1119.03,1132.25,1094.83,1120.46,0
2/23/2017,1120.46,1181.6,1113.54,1171.91,0
2/24/2017,1171.91,1211.74,1092.41,1176.49,0
2/25/2017,1176.49,1180.01,1116.21,1149.05,0
2/26/2017,1149.05,1177.47,1130.61,1171.58,0
2/27/2017,1171.58,1195.82,1164.27,1188.83,0
2/28/2017,1188.83,1208.22,1175.75,1189.27,0
3/1/2017,1189.27,1225.04,1154.55,1222.66,0
3/2/2017,1222.66,1286.98,1211.96,1255.47,0
3/3/2017,1255.47,1291.35,1250.8,1283.3,0
3/4/2017,1283.3,1285.78,1228.73,1264.32,0
3/5/2017,1264.32,1273.28,1242.1,1271.22,0
3/6/2017,1271.22,1280.61,1261,1277.01,0
3/7/2017,1277.01,1280.89,1148.66,1232.69,0
3/8/2017,1232.69,1242.04,1136.88,1146.97,0
3/9/2017,1146.97,1206.97,1129.35,1191.33,0
3/10/2017,1191.33,1330.42,988.69,1112.39,0
3/11/2017,1112.39,1202.69,1104.78,1179.22,0
3/12/2017,1179.22,1235.46,1160.9,1225.11,0
3/13/2017,1225.11,1245.63,1205.61,1238.19,0
3/14/2017,1238.19,1255.52,1218.38,1243.14,0
3/15/2017,1243.14,1256.95,1236.43,1253.43,0
3/16/2017,1253.43,1260.24,1118.96,1172.88,0
